Title,Worldwide_gross($),Budget(in$),IMDB,DURATION-Minutes,Year,Rotten_Tomatoes(%),Rating(Stars),CRBCR3ting,Popularity(in%),Picture Colour,HIT/FLOP
The Birth of a Nation,"5,00,00,000","1,10,000",6.2,120,1915,68,3,1,62,1,F
Intolerance,"10,00,000","4,89,653",8,210,1916,46,4,2,80,1,H
Cleopatra,"5,00,000","3,00,000",7,320,1917,40,3.5,2,70,1,H
Mickey,"80,00,000","2,50,000",7.1,93,1918,47,3.5,2,71,1,F
The Miracle Man,"30,00,000","1,20,000",6,96,1919,80,3,2,60,1,H
Way Down East,"50,00,000","8,00,000",7.9,157,1920,76,4,2,79,1,H
The Four Horsemen of the Apocalypse,"50,00,000","6,00,000",7.9,150,1921,75,4,2,79,1,H
Robin Hood,"25,00,000","9,30,042",7.6,156,1922,67,4,2,76,1,H
The Covered Wagon,"50,00,000","8,00,000",6.8,98,1923,38,3.5,2,68,1,F
The Sea Hawk,"30,00,000","7,00,000",7.3,127,1924,59,4,2,73,1,H
The Big Parade,"1,80,00,000","3,82,000",8.3,151,1925,89,4,2,83,1,H
Ben-Hur,"93,86,000","39,67,000",8,143,1925,78,4,2,80,1,H
For Heaven's Sake,"26,00,000","1,50,000",7.6,58,1926,76,4,2,76,1,H
Wings,"36,00,000","20,00,000",7.8,154,1927,79,4,3,78,1,H
The Singing Fool,"59,00,000","3,88,000",6.4,105,1928,45,3,3,64,1,F
The Broadway Melody,"44,00,000","3,79,000",6.3,110,1929,43,3,1,63,1,F
Sunny Side Up,"35,00,000","6,00,000",6.8,123,1929,42,3,1,68,1,F
All Quiet on the Western Front,"30,00,000","12,50,000",7.9,152,1930,81,4,2,79,1,H
Frankenstein,"1,20,00,000","2,50,000",8.1,162,1931,79,4,2,81,1,H
City Lights,"50,00,000","16,07,351",8.6,87,1931,70,4,2,86,1,H
The Sign of the Cross,"27,38,993","6,94,065",6.9,125,1932,67,3.5,2,69,1,F
King Kong,"53,47,000","6,72,255",8,201,1933,78,4,2,87,1,H
I'm No Angel,"32,50,000","2,00,000",7,88,1933,79,3.5,2,71,1,H
Cavalcade,"30,00,000","11,16,000",6,150,1933,69,3,2,60,1,H
She Done Him Wrong,"30,00,000","2,74,076",6.5,66,1933,61,3,2,65,1,F
The Merry Widow,"26,08,000","16,05,000",7.5,125,1934,91,3.5,2,75,1,H
It Happened One Night,"10,00,000","3,25,000",8.2,105,1934,81,4,2,82,1,H
Mutiny on the Bounty,"44,60,000","19,05,000",7.8,185,1935,71,4,2,78,1,H
San Francisco,"60,44,000","13,00,000",7.3,115,1936,81,3.5,2,73,1,H
Snow White and the Seven Dwarfs,"41,80,00,000","14,88,423",7.6,166,1937,71,4,1,76,1,H
You Can't Take It With You,"50,00,000","12,00,000",8,168,1938,68,4,1,60,1,H
Gone with the Wind,"39,05,25,192","39,00,000",8.2,238,1939,81,4,1,67,1,H
Pinocchio,"8,70,00,862","26,00,000",7.5,88,1940,67,3.5,1,75,1,H
Boom Town,"46,00,000","21,00,000",7.1,119,1940,67,3.5,1,71,1,H
Sergeant York,"78,00,000","16,00,000",7.8,134,1941,67,4,1,78,1,H
Bambi,"26,79,97,843","17,00,000",7.3,70,1942,58,3.5,3,73,1,H
Mrs. Miniver,"88,78,000","13,44,000",7.6,174,1942,58,4,2,76,1,H
For Whom the Bell Tolls,"1,10,00,000","26,81,298",7,156,1943,59,3.5,2,70,1,H
This Is the Army,"95,55,586.44","14,00,000",6,125,1943,59,3,3,60,1,F
Going My Way,"65,00,000","10,00,000",7.2,130,1944,61,3.5,2,72,1,H
Mom and Dad,"8,00,00,000","65,000",5.6,97,1945,42,3,2,56,1,F
The Bells of St. Mary's,"1,12,00,000","16,00,000",7.4,126,1945,71,3.5,3,74,1,H
Song of the South,"6,50,00,000","21,25,000",7.4,95,1946,76,3.5,3,71,1,H
The Best Years of Our Lives,"1,47,50,000","21,00,000",8.1,172,1946,78,4,3,81,1,H
Duel in the Sun,"1,00,00,000","52,55,000",6.9,146,1946,50,3.5,2,69,1,F
Forever Amber,"80,00,000","63,75,000",6.7,141,1947,45,3.5,2,67,1,F
Unconquered,"75,00,000","42,00,000",7.2,147,1947,76,3.5,2,70,1,H
Easter Parade,"59,18,134","25,00,000",7.5,108,1948,75,4,1,75,1,H
The Red Shoes,"50,00,000","5,05,581",8.3,146,1948,69,4,1,83,1,H
The Snake Pit,"41,00,000","38,00,000",7.7,108,1948,59,4,1,77,1,H
Samson and Delilah,"1,42,09,250","30,97,563",6.8,134,1949,41,3.5,3,68,1,F
Cinderella,"26,35,91,415","22,00,000",7.3,104,1950,51,3.5,3,73,1,H
King Solomon's Mines,"1,00,50,000","22,58,000",6.9,100,1950,71,3.5,1,69,1,F
Quo Vadis,"2,10,37,000","76,23,000",7.2,345,1951,71,3.5,3,72,1,H
This Is Cinerama,"5,00,00,000","10,00,000",7.1,123,1952,81,3.5,1,71,1,H
The Greatest Show on Earth,"18,350,000Rÿ","38,73,946",6.7,153,1952,41,3,1,67,1,F
Peter Pan,"14,50,00,000","30,00,000",7.3,77,1953,61,3.5,1,73,1,H
The Robe,"2,50,00,000","41,00,000",6.8,135,1953,41,3,2,68,1,F
Rear Window,"2,45,00,000","10,00,000",8.5,115,1954,71,4,3,60,1,H
White Christmas,"2,60,00,050","38,00,000",7.6,120,1954,71,3.5,1,50,1,H
"20,000 Leagues Under the Sea","2,50,00,134","45,00,000",7.2,127,1954,87,3.5,2,72,1,H
Lady and the Tramp,"8,83,00,200","40,00,000",7.3,76,1955,78,3.5,2,73,1,H
Cinerama Holiday,"2,10,00,000","20,00,000",7.8,129,1955,67,4,1,80,1,H
Mister Roberts,"99,00,000","24,00,000",7.9,123,1955,76,4,2,90,1,H
